author,message message
zip reeper,is this mashaba guy gonna pull a zuma much to follow in this multifaceted arena ... dont wanna say 3 ring circus "kevin "days of our lives melds we will overlook it yep tommygun the commission should have a bailif or sergeant at arms to nab these absentee witnesses zondo should have read all this last night and cracked on with other business now i fear this low wattage monologue may drag on for some time another day another dollar sabc napping disembodied voice shirley hi... i'll greet u! ha ha cant one plead temporary insanity cameraman chowing chicken feet prosthetic mahmoud beard mask on soni ya'll must learn to be less white - coca cola this stablehand relates the horse has bolted when does zondo leap from bench to box witness's ears ... lively things up a bit "all newbies oh all you pretty things - david bowie i was told to be less white so i stole a Coca Cola truck "melds only hurts when i laugh zondo report will be a biblical litany of evil they give pensioners a R1 a day more .... let em eat cake Tito cyril is a black Shrek "melds dont get angry gotta be smart ... somehow! "zweli "rheumy eyes SAA could have flown us for a free holiday to europe on that empty vaccine plane ...:oops: "in a Previous life "di when does sacks get the sack
Heather Durr,@zip reeper Lets hope that the subpoena is not defective and we dont have Ms Mbanjwa's sister Cruella making speeches and getting apologies again. She seems to represent all the hustlers @Teunis van Ree hi there-I am off to the dentist but anticipate that there will be a no show of the Mashaba guy at 2 pm chat later Hi all-So I assume DCJ took an hour to issue a summons for Mashaba @melds Need to have this one taken out so have a temp in-I hate general anesthetic so they will do it in the chair-  @melds melds funnily I have no fear of the dentist provided they give me lots of injections for the pain. I will take an extra Bi Polar tab and then fall asleep in the chair Watching the ******* at Parliament @Naledi Barron Hellooo there gorjus. Do take care and pop in at will Hugs We know why Mashaba is a no show. I mean he was implicated in this whole downfall Hahahahaha Hawks what were you up to  YES We Love flow of funds evidence. Just LOVE it and that Adv Chaskalson cutie with the slight stutter Ooooooooo orgasmic stuff this DCJ will be tjoep stil Bidvest Naughty naughty  Yes VBS  DCJ must just subpoena all those bank statements  Oh dear Mashaba you are in the DWANG I mean ................ Entertain me ... Mashaba must be 'Leaving On a Jet Plane Don't Know when I'll be back again' @melds melds Handing in his affidavit Sacks gets around it appears @melds melds Like I said Sacks gets around. He is not like that Brit with the gazillion pastel thingies I only drink mineral water as do my cats Federer and Federette  Like I said DCJ tjoep stil Mamabolo-? Current MEC for transport in Gauteng?????????????????????? I am waiting for them to call Zweli Why are they even showing this on TV For all the people saying 'show me the evidence' I told you DCJ subpoena bank accounts  DO IT Advise the Hawks  Ja ja ja we have investigators We even have a guy in the UK for you @Louis C He is incredibly tenacious-will not give up and very detail oriented "I'm here without you baby @Tommygun Yes 100% correct Hi all @Lorna Kavanagh Dont know that song-will google it 🙂 @Kevin W Hi there CNN really on about this SOUTH AFRICAN variant-why am I surprised @Lerato Moleke Hi there @Lerato Moleke Lucky was on a roll on Tuesday as was Koko yesterday. Mr Sacks was the only one not mentioned at all by either or anyone else actually other than the Official Twitter of the Comm Can we see this learned Gentleman please You cant just take it back Actually-facts remail facts. I dont think this is accetable @zip reeper Then everyone would want to make an application LOLOLO Actually no DCJ you need to reflect A lot of reflection going on together with santization Adv Soni is very structured in his submissions and it is easy to follow his thought process  I still think the 5 mil Kitchen is priceless (literally) @Teunis van Ree Hi there 🙂 These two have spent much time together going thru this witness testimony-what a well prepared and competent witness "@melds melds they never do unless its banks involved @Sal SA Hi there @zip reeper and Karens That red pen is priceless "@Stix Mtolo I nearly platzed when I saw that-votes are important  Ok time to start blocking Sharp he is this Advo Our DCJ is truly priceless @Sal SA Yes there may be criminal charges of laundering but in a civil action for unlawful enrichment which is a common law remedy in terms of Roman Dutch law as I recall *unjust enrichment @Sal SA  Yes DCJ absolutely personal liability of the directors in terms of the Companies Act I am so tired of analysts and Cyril for starters Ugh x2 @Jacqui Baumgardt hopefully Deloitte is next DCJ and Adv Soni are kindred spirits LOLOLOL I am sure DCJ remembers LOL Its only in the shareholders register-yes  Subpoena Cosec records
Teunis van Ree,Who is our witness today? GM @Heather Durr 🌹 and @zip reeper 🤗 anoj? hi @Moonchild 🙋🏻‍♂️@Heather Durr hi @Kevin W hello @sweetboy gwazela hello @Elaine Morris🌹 Still Prasa and EL Soni hi @FieliesSA hello @melds melds Mashaba is AWOL hey @Valencia J sweetie 🌹 hallo @Santa Kriel 🌹 hallo @corrie ferreira hi @Lerato Moleke 🌹naughty! @Santa Kriel EL is Mr Soni @Jenny Whitewaves Extended Public Works Programne hi @Naledi Barron 🌹 4 MP MECs fired. "@Valencia J Human Settlements @Valencia J at 12:00 another tea break for DCJ and 1 2 3... hi Stix early 1 2 3 The guy shouting irritates me I blocked most of the trolls the last couple of days @Valencia J 🌹 @Lerato Moleke 🌹 @melds melds 🌹 GM venerable @Pastor J.J 🤗 hey there ousus @Heather Durr 🌹🌹 The cappucino is slowly kicking in @Pastor J.J "native English speakers hi @Jenny Whitewaves 🌹 I thought so Jenny. Seems the 1st is popular in Sew Theffrika but wasn't that on behalf of the ANC? see? @Stix Mtolo no she's busy prosecuting 🤭 hi @Naledi Barron 🌹 1 2 3 lunchtime another octagenarian... 🤗
Moonchild,Morning - who is this Mashaba guy who's trying to pull a Zuma? Morning all 🙂 ! "Does anyone know what this guy has specifically been implicated in Thanks @Mfundo - his time has come & now he's running scard!
MARTIN ENGELBRECHT,GM all all is well must explain the 80 million he gave his cadres from the 2.3billion looted funds VROT tall trains were auctioned off as scrap kebby and kakhuis he he he (zuma style) 1 2 3  sleeping in the meetings dude cool is on thin ice with hot blades for a 123 "col ""bosha""" tea at mashabas tomorrow 100 s transactions bidvest... Queen Nomvula ...please 2.6 000 000 000 000 mashaba Naledi Pandor and the missing ambassador 128 million rand  All Notorious Crooks did i just see a brown enevolope """you must push"" is easier to say without front teeth" mashaba property tycoon
Shirley Tilley,Greetings Sorry i had connection issues. can anyone advise who is mr mashaba. i thought the witness today is as below mr sacks Greetings All fraudsters must be so ashamed. Emagine how many starving children could have been fed and homes built  melds meldstoo sad Stix Mtolo must be made of gold Governments has to re imburse all taxes to the value stolen
Gina deW,@zip reeper Such an apt description - 🤣🤣🤣🤣
sweetboy gwazela,HALLO EVERYONE are we ready for another bombshell @Teunis van Ree are you ready for another bombshell Morning everyone ....... Guys i have a concern I was watching court proceedings on ZJ Vs Henakom . @Zweli Mkosana its all sad coz the truth is coming out "@Zweli Mkosana I will appreciate that coz Zuma know things that were done behind close doors 
Elaine Morris,hi... Teunis van Ree:yougotthis:
FieliesSA,Aww I get in and its break. What did I miss? Hi @Heather Durr @Teunis van Ree @Kevin W  @Pastor J.J Morning! I hope you locked the Monis away:P AWWW I leave for 1 hour and I miss this? WHat happened? Who died? "@dude cool I heard a similar one : Sometimes @melds melds When your fabricated story has a huge hole/shortcoming 😛 "Its so awesome to hear these numbers flow. People testifying can blame game as much as they will
