starttime, endtime,message
time,20:01,message No sound here "Get her written proposal Mr SABC please fix the sound Thanks Kevin.. Pastor JJ was she naive or she is pretending not to have known anything where are the trucks ma'am "Clueless 
20:24,23:03, oh it was highjacked... Finally. I said so yesterday. yesterday she said she did nit understand the questions in English. but some of the words she uses are high English. now she is turning her statements. go Blue Bulls kick off now was she used? was she naive? or actually what made her report these crimes? but its her business correct... who then forced her to open the company pty? "classic case of fronting how the fudge not too smart. she was the owner and could have blocked the account. 
24:00,26:52, everyone wants a state tender bcause opportunity to loot from state.she had no competence yet she got involved in a millions enterprise.without exoerience I feel so sad for her. I see her as a naive uneducated woman who tried her best to start a business. These vultures saw her coming and preyed on her naivety 😭 sorry say that again. buai She was part of of the conspiracy to defraud SAX and enjoy the dividends for doing nothing. nope...she got 500000..for what..she was revelling in this freebees She was the owner and had rights to block any movements in and out for the bank account. and she could have reported this when it seemed it was not what she was planning on doing. She approached them "yoh 
27:07,29:56, "typical of young startup companies who until she realized that partners shortchanged her in the loot..not naive..she was part of the looters. ha ha the inflow of money and no goods to show what the outgoing money was been used for. Don't bite the hand that feeds you. "businesswoman who knows nothing about business Yes this is how third party contracts work in SA. ANC mentioned again! everyone that gets into govt.in senior levels go with intention of looting..they not there on merit is she a member of ANCWL any connections there 
29:57,33:55, She was aware according to her evidence of wrong doing in July 2015 a month after the money went into her account?? and she does nothing??? Why not consult a lawyer or accountant instead of a spiritual father.She was so complaisant although she saw the signs of fronting early in the business. ANC again she was part of looters..finish and klaar Is she testifying voluntarily or was she supeoned?? no she snitching so she was scared the ANC would kill her? Is that the way the ANC operates? she not innocent ... yes 
34:36,40:09, prosecutor needs to talk simple english..this woman not smart something went wrong with the eating "yip GOI india PROXY gupta family via bank of Baroda GOI owned money laundering #statecapture SA eish..she dumb ..comes without all necessary info and she expects millions.. sleep with snakes dont complain when you get bitten thats wat she doing yip 
40:14,43:57, Cassim you are 100 percent right Serious case of money laundering. I hope SAPS and NPA are alive to this testimony these crooks brains are so Small if it was dynamite it wouldn't even be enough to blow their brains yip saps is sleeping just joined: who is on the stand and which organisation? bank did not question these people ..allowed the money laundering The Bank phoned her to question the transaction she did not answer the calls yip 
44:07,45:52, banks if south Africa are helping these crooks only logical conclusion.. FNB fnb Fnb does phone when unusual payments are made thats a lil true skelms....... but all banks guilty of this FNB reversed the transaction they were becoming suspicious 
46:12,48:35, bit late..horse bolted It was the bank of Dubai Fnb bank phoned me when my oldest son did purchases on my card with fortnite but it was muliple purchases the Gupta's stole billions because our bank systems are weak dept of small.. no dept of big manager had to question these inflows...know your client fica principle watching from pretoria she should be subjected to a lifestyle and financial audit. 
48:44,53:11, tea..you lucky this co this woman a joke ..crying foul but brian deserve life in prison they used this woman dream and dream yes but if you dont have the expertise.. they uaed her This cc was actually run by an official of saa express lol i feel for this woman. 
53:30,57:16, i can dream to be hotshot lawyer but i dont have expertise..now u say to me ok you got job of lawyer..do you take it..if you promised millions this woman ia old school and Brian outsmarted her she playing dumd eish I don't believe she ever asked for Invoices from the onset she is involved in money laundering and fraud. very dumb she a lauging stock..bad for our image This person pretends to be naive. The Judge is conscious of this. acting for an Oscar..... Is this lady for real 😂😂 
57:26,59:23, theres a saying in south africa...it is not a crime to steal..but a sin to get caught.. She's a bird of the same further very much so..... she is not so clueless.... this happens in government tender . if you want business they ask money yoh this is bad Its her company. 15 Million and some odd and she did not take even `million. So who really owned this company. ANC????? dont think he is afrikaner This woman is hanging herself The plot thickens 
1:00:11,1:02:03, Mr van Wyk is an African guy Van Wyk is a black man judge a bit slow on the take ..wat part he doesnt understand..cut and dried case why worry about skin color...... crime is crime have no color ya crime has no colour Absolutely on point PASTOR I am so interested to know whar is Mr Van Wyk and his sidekicks are going to say. Many people goes into business knowing nothing about business 
1:02:21,1:05:20, yip and they get tender Yesterday someone called Lex Luger attacked me on this thread about my comment on Van Wyks corrupt activities I was just trying to help no malice or offence guys nothing to understand..rogue It appears van Wyk was the enabler for the ANC "As it turns out All she had to do was obtain the Invoices from the contracting companies she was playing along...... but mgwenya was the best witness abd van wkj is in trouble 
1:05:23,1:08:44, is today not wknd? appointed investigators...eish played dumb and ignorant..now getting smart not an afrikaner "As I mentioned yesterday why can the commission goes to that company that received money if they did the work "Forensics hmmmm hot seats hmmmmm "SA Express was grounded there is so much of fires...last 25 years ...big fires ..small fires..police dont have resources to catch and prosecute 
1:08:50,1:12:18, not that it matters what he is. but his full name is Brian Tebogo Van Wyk The commission will call these people to the enquiry and any paper evidence must be submitted. All is well thanks @Pastor JJ Pastor JJ but we are expecting temperatures of up to 40C also police are corrupt spur buddies "People This evidence leader always had a hostile way of questioning throughout the commission It appears that she did do something to gather evidence to show wrong doing. Maybe we should not judge her until all the evidence is presented including the recordings of conversations. govt is run majority ..so looters will be part of majority. 
1:13:04,1:16:25, "Van Wyk opend the Standard Bank account and controlled it Van Wyks partner was also involved in wrongdoing "@Kirk gemmell ag stop now this color stuff @waterboer Yes PASTOR. That's the burning question. Yes and whether she has paid tax on these dividends. The majority are the looters. eish get real...stop looking with blinkers...its not a rascist thing. There is an article called 'A masterclass in looting' implicating Van Wyk in state capture 
1:17:04,1:19:59, truth hurts isnt "@Thando Nkutha this lady seems she knows what was going on Do these ppl have no conscience? no no thief has a conscience "Africans keep talking about it more and more "Africa only has Africa to back it up *rands 
1:20:06,1:23:58, "This witness is complete puzzle..she leaves more questions... Is she part of the scheme "We are all born here beleve her and you will believe anything "I dont think that anyone can consistently appear to be stupid "yep she is puzzle ja neh "Anyone who listened yesterday will know what I mean "I love you South Africa "@Dabble Smith the racism is off the charts 
1:25:41,1:28:09, "@ Thando We need to work together. Spiritual what? Must be her pastor "The leftists and populist are globally the ones behind this racism phenomenon that a proven fact  I back the commission. what about the COMMISSION since when business seek spiritual advisers I wonder how this women was appointed she seems to know nothing about business this commission is doing an outstanding job you can see that she's committed to this 
1:28:10,1:30:06, "plus the fake news The chairman he is a boss ❤ i think the chairman is bit SLOW "he listens to everything "It's a delicate topic @donovan daniels Are you being sarcastic or do you genuinely believe Judge Zondo is a bit slow? "this is after she went to the bank to have control I think the chair is not fooled and deliberately poses questions that seem innocent.. 
1:30:16,1:32:55, Exactly Donovan I believe he's not slow but ensures there's evidence to back every evidence The Chair has such a deep voice he has to speak slowly Chairman is very attentive don’t be fooled "Not just attentive but yet his a very considering chair "The DCJ is excellent Wish don't think this recording is going to be of any value @donovan daniels I think the DCJ is one of the most brilliant legal minds in the country. Don't be fooled by his soft spoken or politeness. 
1:33:04,1:37:26, "I agree Magda Eish not audible "They will fix it now "Absolutely they are going to fix it when they come it will boom but brian scored 9 million gor his galfriend is his life partner a lady or a man🤔? man i guess thanks @Anne M 
1:37:45,1:44:09, Brian scored for his gay friend lifetime partner think Mr v wyk is on the toilet by now..... ken that was funny "Why didn't she go to police.. No big question now adays? how do you get a tender asap. be a women in business and of colour too but how can she be so naive not to know whats happening in her own business "she is a crook how the fudge can you meet at spur for a meeting its a family restuarant 
1:45:05,1:53:48, "she is sweating  she neer had a buss......just ontacts She willingly became a conduit for transfers of money and was given payment for it..the R 500 000 It was the pattern among the corrupt gang.. its sad though people need others to instigate corruption on such a level... south adrica is the laughing stock of the world "She agreed Watson Chairman Zondo is absolutely brilliant. The epitome of balance and justice. The Judiciary is the only hope this country has left. 
1:54:18,1:57:54, she knew what she was in for. When she was not receiving what she was promised...decided to become a whistle-blower. at half a million a pop i would also not ask many qeustions The question is.. is she a whistle blower.. did she volunteer to come to the commission or was she supeoned?? Has it been established what she contractually should have received for managing the two airports. "Financial illiteracy has devastated communities her busness was not ground handling it was a laundery like in money laundering and she new from the start and she wanted more but could not get it she blew the bugle or a biiiig whisltle corrupion makes me so antisocial.... to scared to make friends even :( "Ben haha more like a vuvuzela 
1:58:06,1:59:58, lol Party cadres being put in positions they aren’t qualified for. Out of nowhere the Comrade has access to what he or she thinks is free money. Then she is most definitely a part of of this fraud "Yes millions deposited into her account.... and she wasn't even on site..... no work was done....🤔.....red flags..... should have contacted her attorneys or crime investigating unit.... no excuses.... we have an hour tea break? this commission and time keeping.. Looks like it .yo think recording gives problems 
2:00:05,2:02:05, All aboard the gravy train that's what it has been. "Reinette Raubenheimer  still watching the recordings With Pres CR speech this gives me hope that some people will be held accountable !!!! ..but it just doesn't make sense tht she would let this Van Vyk character do as pleased with her company if she wasn't IN on it.. why didn't they test the recording before? poor preparation. this tea break though.... they're own technology always gives them problems yet they never learn ..recording should have bn sent fr clean up earlier yazi 
2:02:23,2:05:54, "when someone consults a ""spiritual"" adviser (sangoma) and not a lawyer to record out of a handbag is not ideal.... pick up lots of noice.... "My surname is spelt with a G not a Q "If there aren’t jail terms after the recommendations of this commission Yesterday she said she decided to whistleblow by threatening to go to a newspaper because she felt she had become a servant in her own company. But her “nativity” is beyond belief. She is acting out to save herself @Born Free I thought so too don't think so @pastorjj "@Pastor JJ 
2:07:52,2:10:09, thanks @margareth waterboer Eish... "This kind of Black business I hate no sound? Is that Van Wyks attorney in the background behind Miss Hoffmeyer?? This witness is always taking notes. Haibo "The corrupt What’s going on now? "Watson Mustangs 
2:10:10,2:18:19, Going to confuse herself. she has to make notes No sound of the recording Her business money going to ANC wash that money :( She is ANC "hey MD Born Free. We don’t know what party she belongs to.But does it matter? At least she spilt the beans. she's allowed to do do 
2:19:18,2:25:10, the commission allow anyone to use the language they prefer She did not volunteer she was requested to give evidence. maybe if she can use her language it can be better for her to explain it She has no problem with big English words. Morning Guys..... who is the witness? "Babadi Tlatsana Morning Robert\ Ok got it thanks Anne Hello Robert 
2:25:39,2:28:29, "Oh come on Hi Magda how you doing? haibo @Tholithemba Ntsele I doubt if she knew there was a tender. I doubt if there was a tender. There was a fraud clearly. And how are you doing? There was NO tender and her company got R20m "Magareth Waterboer. Like in a court "looooool...BEE Window dressing at its best aunty Lynn Brown again..... 
2:28:40,2:31:20, I think she didn't know nothing about tenders cos they wanted her CK certificate to get those tenders she is compromised in the beginning and the lie grew as they tend to do and the money she was or not paid was not confusing and she did not refuse it they used the perfect person to use yep can anyone out there give me a tender loving care she was happy that she get money at the end "Who is the """"he"""" they are referring to?" Brian Tebogo Van Wyk BEE against a minority group has killed this country . BEE is not even structured on a merit or qualification basis. "Van Wyk 
2:31:28,2:34:07, Incompetence kills economies.. Or any business.. We should employ the best for the State. Even great business leaders fail This skelm besigheid is so degrading to the rest of us because it merely confirms that you need to be skelm to get these tenders.if you are honest & hard-working forget it This is pure corruption Is the NPA representative listening. this looting is depressing agreed only greased hands will give you any type of tenders Dipou Peters Tenders can corrupt yong ! 
2:34:43,2:36:06, "Can you hear the recording "And to think all the looters and Zuma supporters are still in parliament "I had a look at his LinkedIn profile Tona Kgolo s money . these ministers should lose their pension if they are serious about fixing this @Margareth Waterboer She's listening to the recording through earphones "@Love Moore That is so sad. I've met this kind of a poster girl. Very ruthless Ok. Thx for clarifying that.. @Anne M what punishment will all these people get? 
2:36:15,2:38:11, They must lose their pensions as well as there positions. Tonakgolo "I also checked @Anne M in the private sector in conection with tenders and procurement as a company will have front person to inform you of other competators prices and where you are on the list so reduce or loose my big question is what is going to happen afterwards Living the high life champagne and best restaurants etc @Rox Moleme Tonakgolo = Supra?? and the front person in the office of procurement also wants a cut of the pie very frustrating Morning is the commision not live on 403 or 404? 
