author,message
Ozzy Ozzy,No sound here Mr SABC please fix the sound Thanks Kevin.. Pastor JJ
Kevin Simon,"Get her written proposal Finally. I said so yesterday. Don't bite the hand that feeds you. ANC mentioned again! ANC again so because she was sitting on R21m of laundered funds van who decided to fill her is and get her aboard with a longer term scheme. Zuma thought a billion rand was a bottomless pit. Clever man with standard 3. 🤣 If CR is displaced expect R100.00 # $1.00
T the X,was she naive or she is pretending not to have known anything
tumelo mosadi,where are the trucks ma'am
Lew464,"Clueless "typical of young startup companies who so she was scared the ANC would kill her? Is that the way the ANC operates? she should be subjected to a lifestyle and financial audit. she knew what she was in for. When she was not receiving what she was promised...decided to become a whistle-blower. "when someone consults a ""spiritual"" adviser (sangoma) and not a lawyer "hey MD
Michelle Kingsley,oh it was highjacked... but its her business correct... who then forced her to open the company pty? how the fudge Fnb does phone when unusual payments are made thats a lil true Fnb bank phoned me when my oldest son did purchases on my card with fortnite but it was muliple purchases ken that was funny big question now adays? how do you get a tender asap. be a women in business and of colour too but how can she be so naive not to know whats happening in her own business how the fudge can you meet at spur for a meeting its a family restuarant its sad though people need others to instigate corruption on such a level... south adrica is the laughing stock of the world corrupion makes me so antisocial.... to scared to make friends even :( wash that money :(
Wildthing,yesterday she said she did nit understand the questions in English. but some of the words she uses are high English. now she is turning her statements. go Blue Bulls kick off now not too smart. she was the owner and could have blocked the account. sorry say that again. She was the owner and had rights to block any movements in and out for the bank account. and she could have reported this when it seemed it was not what she was planning on doing. ha ha the inflow of money and no goods to show what the outgoing money was been used for. is she a member of ANCWL any connections there
Eddy Monnapula Nkadimang,was she used? was she naive? or actually what made her report these crimes? buai "businesswoman who knows nothing about business something went wrong with the eating saps is sleeping this co This cc was actually run by an official of saa express lol Many people goes into business knowing nothing about business "Business without doing any business "committing corruption with companies
Sandile Ndebele,"classic case of fronting
cassim suleman,everyone wants a state tender bcause opportunity to loot from state.she had no competence yet she got involved in a millions enterprise.without exoerience nope...she got 500000..for what..she was revelling in this freebees until she realized that partners shortchanged her in the loot..not naive..she was part of the looters. everyone that gets into govt.in senior levels go with intention of looting..they not there on merit she was part of looters..finish and klaar no she snitching she not innocent ... prosecutor needs to talk simple english..this woman not smart "yip eish..she dumb ..comes without all necessary info and she expects millions.. sleep with snakes dont complain when you get bitten thats wat she doing yip yip bank did not question these people ..allowed the money laundering yip only logical conclusion.. fnb but all banks guilty of this bit late..horse bolted dept of small.. no dept of big manager had to question these inflows...know your client fica principle tea..you lucky this woman a joke ..crying foul dream yes but if you dont have the expertise.. i can dream to be hotshot lawyer but i dont have expertise..now u say to me ok you got job of lawyer..do you take it..if you promised millions she playing dumd eish she a lauging stock..bad for our image theres a saying in south africa...it is not a crime to steal..but a sin to get caught.. dont think he is afrikaner judge a bit slow on the take ..wat part he doesnt understand..cut and dried case ya yip and they get tender nothing to understand..rogue appointed investigators...eish played dumb and ignorant..now getting smart not an afrikaner there is so much of fires...last 25 years ...big fires ..small fires..police dont have resources to catch and prosecute also police are corrupt govt is run majority ..so looters will be part of majority. eish get real...stop looking with blinkers...its not a rascist thing. truth hurts isnt no no thief has a conscience
Ashne Hesselberg,I feel so sad for her. I see her as a naive uneducated woman who tried her best to start a business. These vultures saw her coming and preyed on her naivety 😭
Born free,She was part of of the conspiracy to defraud SAX and enjoy the dividends for doing nothing. She approached them Yes this is how third party contracts work in SA. She was aware according to her evidence of wrong doing in July 2015 a month after the money went into her account?? and she does nothing??? Is she testifying voluntarily or was she supeoned?? The Bank phoned her to question the transaction she did not answer the calls FNB reversed the transaction they were becoming suspicious I don't believe she ever asked for Invoices from the onset she is involved in money laundering and fraud. The plot thickens Van Wyk is a black man All she had to do was obtain the Invoices from the contracting companies The commission will call these people to the enquiry and any paper evidence must be submitted. Yes and whether she has paid tax on these dividends. The majority are the looters. The Chair has such a deep voice he has to speak slowly Wish don't think this recording is going to be of any value Eish not audible Brian scored for his gay friend lifetime partner The question is.. is she a whistle blower.. did she volunteer to come to the commission or was she supeoned?? haha more like a vuvuzela Then she is most definitely a part of of this fraud All aboard the gravy train that's what it has been. She is acting out to save herself Is that Van Wyks attorney in the background behind Miss Hoffmeyer?? she has to make notes She is ANC She did not volunteer she was requested to give evidence. She has no problem with big English words. BEE against a minority group has killed this country . BEE is not even structured on a merit or qualification basis. They must lose their pensions as well as there positions. It's a recording of Van Wyks conversation with her at the Spur. Van Wyk does not know he is being recorded Yes Lyn Brown has been implicated to the Guptas Lynn Brown... Eskom.. the Guptas Zuma in mid July to face the Commission This BEE is a load of nonsense The Midlands makes excellent furniture Was the furniture from Sutherland's?? BEE is a discrimination against a minority group and designed to steal their jobs Danie... you should blow the whistle and appear before this commission. Was the Midlands firm.. Sutherland's @Norman Zwane.. This Midlands firm was the bosses name Craig?? Is the owner of the Midlands firm Craig Steele @Norman Zwane.. please tell us we are curious ?? @ Norman Zwane.. you must know the company and does it exist today?? I wonder if Cyril is listening today 🤔🤔 Yes Van Wyk could have taken it all Absolutely.. Danie Yes Esidemeni It would seem the witness was paid R500 000 and then the business account was liquidated once all the funds had been looted. Yes Norman I think you are right So now she is in control! She gained control for more gains. She enjoyed money for nothing See she can think and use big words when she wants to Are these airports functional??? There could have been Ghost employees We know there are Ghost fire engines Yes Ben she is complicit in money laundering. As sweet as she is.. She is in trouble. "The witness is implicated in money laundering They will all play victims but it won't save them from their corrupt deeds. Gavin Watson will have to be extradited from Britian and I don't think that SA and Britian have such a treaty Watson has dual citizenship the NPA know where he is I forgot Racketeering Jiba Yes from the looted money.. I wonder when the bail money was returned to her if it went into her personal account?? I don't agree with dual citizenship it opens a door for criminals. Commission had a timeline and must catch up Freedom of speech you have no right to tell people what topics they can chat about. I am referring to Sibinyoni Don't respond if you want to save your data "mheli.. better still save your data by not opening the ""live chat""" Enjoy.. Lex 🍻🍸🍷 We are not surprised.. but they must pay back all the money and rot in jail. The public purse They were flexing their wrists 😂 Haha the Zulu faction Undoubtedly Zumas comrades of corruption. I would have skipped the country with all the loot😂😂 I would be living it up on a Paradise Island with all of the loot and under a new identity 🤣🤣 As in the movie.. Catch me if you can "An Imposter operating as a business man I have started with my book.. Comrades of corruption
Tendekai Mawokomatanda,"yoh
Khaya Nomoyi,Why not consult a lawyer or accountant instead of a spiritual father.She was so complaisant although she saw the signs of fronting early in the business. I am so interested to know whar is Mr Van Wyk and his sidekicks are going to say.
Antonie Engelbrecht,yes skelms....... she neer had a buss......just ontacts pay back the money anc
Surinderjit Singh Rana,GOI india PROXY gupta family via bank of Baroda GOI owned money laundering #statecapture SA
Naledzani Mashau,Cassim you are 100 percent right It was the bank of Dubai She's a bird of the same further Mr van Wyk is an African guy I was just trying to help no malice or offence guys The ANC big fishes are in the stream of the rot Thando are you serious? I'm with Cyril we are watching it live lol
Vish Govender,Serious case of money laundering. I hope SAPS and NPA are alive to this testimony This person pretends to be naive. The Judge is conscious of this. Its her company. 15 Million and some odd and she did not take even `million. So who really owned this company. ANC????? Absolutely on point PASTOR It appears van Wyk was the enabler for the ANC It appears that she did do something to gather evidence to show wrong doing. Maybe we should not judge her until all the evidence is presented including the recordings of conversations. Yes PASTOR. That's the burning question. This testimony is critical. ANC further exposure She gets R500 000 and ministers get 20 million. No wonder she is singing. Govt . A cash cow for ANC and ministers. A prison for those who steal. ANC will be the majority party there
donovan daniels,these crooks brains are so Small if it was dynamite it wouldn't even be enough to blow their brains what about the COMMISSION this commission is doing an outstanding job you can see that she's committed to this i think the chairman is bit SLOW but yet his a very considering chair when is GAVIN WATSON coming to testify
Barbara Lutendo Birungi,just joined: who is on the stand and which organisation?
Ken Fer,banks if south Africa are helping these crooks FNB the Gupta's stole billions because our bank systems are weak but brian deserve life in prison they used this woman dream and they uaed her i feel for this woman. this woman ia old school and Brian outsmarted her this happens in government tender . if you want business they ask money crime has no colour but mgwenya was the best witness abd van wkj is in trouble why can the commission goes to that company that received money if they did the work but brian scored 9 million gor his galfriend man i guess this country is rich .the government can provide for service delivery to its citizens corruption is killing this country they must set a special corruption courts for speed of this case the problem is appointment of cadre's on government position while graduate arr at home but Brian will be in trouble with zondo questions when he comes
Tshepo Chiloane,watching from pretoria
Reinette Raubenheimer,very dumb acting for an Oscar..... very much so..... she is not so clueless.... why worry about skin color...... crime is crime have no color she was playing along...... ag stop now this color stuff @waterboer is his life partner a lady or a man🤔? thanks @Anne M think Mr v wyk is on the toilet by now..... millions deposited into her account.... and she wasn't even on site..... no work was done....🤔.....red flags..... should have contacted her attorneys or crime investigating unit.... no excuses.... think recording gives problems to record out of a handbag is not ideal.... pick up lots of noice.... don't think so @pastorjj thanks @margareth waterboer aunty Lynn Brown again..... agree RESPECT 4 u DCJ ZONDO ⚘
Justice Letsholo,Is this lady for real 😂😂 This woman is hanging herself
Michael Holmes,yoh this is bad
Magda Seguin,Yesterday someone called Lex Luger attacked me on this thread about my comment on Van Wyks corrupt activities "As it turns out "As I mentioned yesterday "Forensics "SA Express was grounded All is well thanks @Pastor JJ Pastor JJ but we are expecting temperatures of up to 40C This evidence leader always had a hostile way of questioning throughout the commission "Van Wyk opend the Standard Bank account and controlled it Van Wyks partner was also involved in wrongdoing There is an article called 'A masterclass in looting' implicating Van Wyk in state capture *rands "I dont think that anyone can consistently appear to be stupid "Anyone who listened yesterday will know what I mean "@Dabble Smith the racism is off the charts Must be her pastor "plus the fake news "this is after she went to the bank to have control "The DCJ is excellent "My surname is spelt with a G not a Q "The corrupt No sound of the recording Her business money going to ANC Hello Robert And how are you doing? Brian Tebogo Van Wyk Even great business leaders fail This is pure corruption "And to think all the looters and Zuma supporters are still in parliament "I also checked @Anne M Living the high life champagne and best restaurants etc Then they act like Zindzi spreading hate I cant wait for when Zuma appears in July Zuma wanted the commission to send him questions beforehand but the DCJ refused And the political killings continue Former mayor of Ndwedwe municipality in KZN shot dead 2 days ago Supra again mentioned "Dipuo Peter's Corruption seeped into the SA political DNA.A failed state. The Zuma bots and trolls will take over handled by Carl Nuehaus and Ace "No it was Joemat Petterson "I foresee CR being recalled "The Unions are a disgrace @Kirk Gimmel that is exactly what I thought a couple of days ago This lady needs to have SC Trengrove to represent her A bombshell Lynn cant put up an act to deny again Stealing from the poor who AGAIN voted t "Those who voted ANC are not even aware "While Zundzi Mandela earns more than R1m rand Maybe it spared them this evil She was taken for a ride Taxpayers money divided among the looters "The banks was complicit All the audit companies like KPMG and a host of other private companies like Trillian were involved...the corruption is VAST The Zuma faction put everything in place for CR to fail with the PP as the main actor Taxpayers will gork out R61 billion to bail out Eskom.The Chinese are also closing in to take over. The Chinese signed 93 trade agreements with SA yesterday we will be re- colonised like the rest of Africa by the Chinese "Putin is moving into Africa There is absolutely no benefit for SA in BRICS "Of you check on Cortiption Watch I dont think the innocent SAs should pay for the evil deeds done under Zuma "I know @Pastor JJ Pastor JJ I just completed a book called The Putin System and the Oligarchs by a French journalist.I am very well read on communism and its evils across the board Hospitals close on Sayurdays??? Really? you must be referring to municipal clinics...no hospital in SA close on a Saturday.I am a healthcare professional working mostly in SA never heard of it "@Lex Luger go to my Twitrer profile and see my work @Lex Luger you are a troll targeting me.Get off my case I always have a troll on my back...blocked him Goodbye Cyber bullying is a fulltime profession of some people Spreading lies about hospitals closing on a Saturday cant be left unchallenged Zika really dont need to be preached to thank you.I am not a moron. "BTW I blocked him I dont think I will go back to live in SA ever again IDual citizenship is allowed I have both SA and EU Do you make the laws? "I have money here Goodbye The time has come for me to say goodbye to all the DECENT people who I interacted with on this forum.I cannot take the toxicity and hate anymore.Go well.Peace.
Oscar,is today not wknd?
