author,message
makhosi nobhatyi,😳😳 Batohi is here "Jiba lied to us same as former sars commission Tom Moyane We are coming for big fish Amahlathi aphelile no forest to hide "@Norman Zwane we are expecting Batohi to prosecute them @ norman Zwane she is black Yes I saw someone like her sitting far left behind mis September @ Norman Zwane "Commission is exposing all executives who put head into investigation and manipulation of information to demonize public @Norman Zwane yes my eyes athe ntshooo ku ms September 😃😃😃😃@Norman Zwane "After elections you will see more evidence about Zuma’s panic and respond to the allegations was risen Remember these individuals are not anc employed by government @Derek main lol they are dead all we are waiting for to be changed Norman Zwane they go every court fall now here they will big in prison Ipid evidence and this one And Ramaphosa release report about security cluster being a boxing match for politicians and used
Minoctar Sithole,where is general ntlemeza
Mzalwane Mzala,Mbalula fired General Ntlemeza Ramaphosa showed leadership in the way he dealt with Jiba and Mrwebi.
The Vuka Experience,Have I missed much? @Felix Muyoba 😂 thanks
Felix Muyoba,@King Vuka not much..the general is reciting a poetry😂 @Kay Kay how? @Kay Kay true @Kay Kay 😂😂😂 and he swallows she is learning figure or future? or feature? @Michael Wild that s not surprise because he is a legal person and is within the legal ethics..
Kay Kay,general Booysen is very smart Booysen's racketeering charges is really coming to hunt Jiba the snake Zondo must plz drink water That coughing by Zondo thou This state capture is actually not a normal corruption saga but a syndicate of organized crime "@Michael Wild Is she leading the evidence for the first time or what? State capture syndicates plan it so well that nothing come out b4 Zuma's presidency come an end And the ANC politicians allowed themselves to be used to cover and protect all the crooks and looters of state resources So Richard Mdluli pledge to cover Jacob Zuma's back? "Zuma influenced and corrupted majority of the ANC leaders Now I understand why the ANC Zuma faction didn't want CR to be come president and have decided to plan for his removal "@Norman Zwane Jiba&Mrwebi can challenge the justice Mokgoro report if they want to waste their money "@Solly 12 So advocate Nko lied to the panel in her quest to want to become NPA head?
Henk,These Lunches cost Tax payer money How much? lol Do we forget the book The Abuse of Power and the Assault on Democracy ?? "So are we all to read ""The Wave""" """The Wave Who wrote that for him? Lunch does strange things to people Boxes of cash Get on with it What are we saying? All of South Africa is corrupt """scores to be settled""" including this one that is taking forever? I touched my head and Money all of a sudden appeared in my car VOODOO😂 Just touched my head😂 Still no money in my car😂 Where can I also buy a fake Rolex? Yesssssssss Yesss Yess Yesss HAHAHA @Thando Nkutha I'm Laughing @Thando Nkutha It's crazy Less than 1K for a Rolex😂 Strange @Thando Nkutha Now they shut the watch page down😂 I'm leaving to safariLIVE stream Byeeee lol Amigo investigation Oh I see Thanks my friend @Thando Nkutha ☮out Have a look at safariLIVE
Magda Seguin,@Robert Russell I have been listing to application to the Concourt hearings for the elections to be postponed The Khoisan have been marginalised and requested an urgent appeal for an independant represebtative in parluament due to the fail of the ANC to address the issue for 25 years "It is spring here in Paris
Nelson Musoliwa,Had Bootsen been appointed as national police commissioner many of the state looting could have been prevented not Ntlemeza of this world. Inconceivable that the R2m which was witnessed by several police officials and hard cash as exhibit plus telephone evidence yet case provisionally withdrawn Wonder if Zuma is still asking if the state was captured as he refereed to the three tiers of state. @Hank correct we are all corrupt in this country Me think it is in our DNA which only need to be ignited by being given power of controlling state resources. But yes i may be wrong So far evidence in zondo comm exposed stupidity that engulfed the corrupt individuals including the baba ka duduzane Nathi Mtetwa was bidding favors with zuma and to cover his role on slush fund used to fence his private home unlawfully. he is corrupt Kay you are 100% correct
Kapn Krunch,all institutions pretty much are let's face it that's false we are not all corrupt those in positions of power are but when majority is corrupt it's hard to stay alive when you do the right thing
