starttime, endtime,message
time,11:55,message 👀 Guess it's just me and Zondo today🙆‍♀ Where's everybody though?🤔 busy getting ready for long holidays......to Moria 😃 @Yandi Masina... it's d 15th ppl r out t enjoy their salaries 😀😀😀 "Can they eWallet us reminder: eWALLET salary today to @Yandi Masina 😊 
29:17,41:39, @Yandi Masina i think Mcbide's testimony did not reach people's expectations hence they voted with their absence today Morning Morning Morning corruption is bad 4 our country Is Rob giving names or just stories? It's not stories...The then police minister nhleko is being proven to have acted illegally according to the Constitutional Court judgement I am still waiting for petrol money 😀😀😀 Spider Lol 
43:11,50:11, Nhleko interferes with the independence of IPID I only have 3 beers left in fridge...Ace where are you?? Michael as deep as ethnic lines. "if all South Africans come together as one people Mugabe was rushed to Singapore for medical treatment.Just goes to show how he destroyed his country that he has no faith in his own health system.Its an African problem.Mabuza was treated in Russia Even the Nigerian president was treated in the UK for months...disgraceful Magda very true. we have divisions amongst all of our people. And that is going to destroy us. Nothing else. Nigerian President was treated in UK hospital just for ear infection Policing the police is a daunting task and dangerous one if parliamentary committee watch dog is not objective as ours was. 
50:53,54:30, Is that true? So apparently ear infections can't be treated in Nigeria...how crazy Politicians lie constantly and gullible people believe and vote for them time after time Africa. The past stopped in 1994. 25 years later we are more divided as a people than we were before. more poor. more unemployed. more uneducated more corrupt. more and more and more. @Afrika that is not true.. Someone said Africa is a grave yard because when its leaders fall ill thay are treated in Europe or else where but when they die they are buried in Africa Do you know of other heads of states or politicians coming to Africa for medical treatment? "@Nelson Musoliwa you have a point there We have brilliant medical professionals but they are forced to leave yhe coubtry due to bad government policies @Nelson Musoliwa That's because we allow our leaders to get away with it. 
54:49,59:29, Magda true I cant understand what is so special about europe.. SA needs law and order back. and people doing wrong should be placed in jail. otherwise we will not go anywhere but backwards and criminals will rule. I rest my case...its your choice to believe what you believe...btw I am not illiterate or dumb "@Michael Wild i agree with you @Derek imagine if we all got lot of money to be treated outside our country for any illness it would render our own health system useless. We need a new government. that Ace Magushle. hey that gangster guy. don't trust that man. wants to topple Cyril Ramaphosa. hey man. I'm scared for South Africa. "There are hundreds if unemployed doctors that completed their community service Bonjour madame comment allez vous 
1:00:15,1:03:49, Très been merci Monsieur Russell St vous? *Et Oui Anything new happened yet today? Chouette! tout va bien alors "@Afika Centane The Polokwne Conference was the down fall of the ANC Tes the two emails that Werksmans produced this morning was debunked by McBride's testimony oz' 
1:04:43,1:09:57, The Constitional court judgements proved IPID's independence and that the Minister of Police at the time interfered @Nelson Musoliwa Yes - it should be a law that all government ministers must use public facilities. Whilst I'm happy that he has come forward to the commission I still have a issue looking at him... knowing he killed innocent people.... especially young adults who had their lives ended by him. "@Nelson Musoliwa Theri kids must go to government schools @Robert Russell he killed white people @Thando Nkutha lol @Robert Russell I feel that way about de Klerk knowing his regime killed thousands And that makes it OK ????? I think PW was more to blame then De Klerk 
1:10:39,1:19:29, @Robert Russell why blame PW? "Magda Seguin  @ Derek i agree with you because they can not give their all to the improvement of facilities that they do not utilize. It is daylight robbery. @Lew464 try to learn about apartheid history..it's a shame that apartheid worked so well that we don't know about each other's pain and suffering. @Thando Nkutha I get you bro @Magda you are raised a crucial point in struggle point of view really. Undesirable that the oppressed could not consolidate their sufferings on a common ground I am not condoning the actions of the security forces etc. but taking the lives of innocent civilians is not cool.if MK was a ligit military outfit they would have complied with the Geneva convention So how many innocent civilians do you think died during 40 years of apartheid? When the casspirs entered the townships nobody was safe 
1:20:14,1:23:59, Security forces? against the majority of a population to uphold a racist regime? I agree with you... I don't condone it from any side on the debate.... but some people think it's ok because they are white... and that's why we we will never move on as country... @Robert Russell Unfortunately the Geneva convention is no longer worth the paper it is written on. The US regularly flouts it with their actions around the world. As long as part of South Africans are in denial about apartheid we will never be able to reconcile Yeah but I'm talking about in the early 70's @Derek Main "@Magda Seguin estimates are about 10000 deaths In the 80's if you didn't get home drenched in teargas and given 5 minutes to disperse with helicopters hovering above you will never know what we went through who has denied apartheid existed or the atrocities that it gave the majority of the country??? @Magda Seguin @Jack...I don't consider that number as remotely accurate 
1:24:24,1:36:18, @Magda Seguin yet it's quite well documented I don't know @Robert just judge g from the comments here makes me think that it is a microcosm of denialism I love DCJ Zondo's mind. "Magda Seguin  Mr Mc Bride uses the term .. common sense should prevail... did he use his commom sense in regards to the Magoos bar bombing ?? i think not.. just glad he has been terminated from his duties @Lew464 I am not going to engage on semantics with you "Dilip pls read the TRC transcript @Dilip Badal ... I think he did not use common sense killing innocent young people.... how does and action like that make any kind of sense ???? *any action 
