starttime, endtime,message
time,25:13,message 😳😳 where is general ntlemeza Mbalula fired General Ntlemeza Have I missed much? @King Vuka not much..the general is reciting a poetry😂 @Felix Muyoba 😂 thanks general Booysen is very smart These Lunches cost Tax payer money How much? 
25:53,32:25, @Robert Russell I have been listing to application to the Concourt hearings for the elections to be postponed lol Had Bootsen been appointed as national police commissioner many of the state looting could have been prevented not Ntlemeza of this world. Do we forget the book The Abuse of Power and the Assault on Democracy ?? The Khoisan have been marginalised and requested an urgent appeal for an independant represebtative in parluament due to the fail of the ANC to address the issue for 25 years @Kay Kay how? "So are we all to read ""The Wave""" """The Wave Batohi is here 
32:29,37:18, @Kay Kay true Who wrote that for him? Lunch does strange things to people Inconceivable that the R2m which was witnessed by several police officials and hard cash as exhibit plus telephone evidence yet case provisionally withdrawn Boxes of cash Get on with it What are we saying? All of South Africa is corrupt """scores to be settled""" all institutions pretty much are let's face it including this one that is taking forever? 
37:34,45:24, Wonder if Zuma is still asking if the state was captured as he refereed to the three tiers of state. @Hank correct we are all corrupt in this country I touched my head and Money all of a sudden appeared in my car VOODOO😂 that's false we are not all corrupt those in positions of power are Just touched my head😂 Still no money in my car😂 Me think it is in our DNA which only need to be ignited by being given power of controlling state resources. But yes i may be wrong Where can I also buy a fake Rolex? Yesssssssss Yesss Yess Yesss 
46:23,53:47, HAHAHA @Thando Nkutha "Is this the same fellow who refused a 2 million bribe..?? But why did under this guys leadership but when majority is corrupt it's hard to stay alive when you do the right thing I'm Laughing @Thando Nkutha It's crazy Less than 1K for a Rolex😂 So far evidence in zondo comm exposed stupidity that engulfed the corrupt individuals including the baba ka duduzane Strange @Thando Nkutha Now they shut the watch page down😂 I'm leaving to safariLIVE stream Byeeee lol Amigo investigation 
54:15,1:11:57, Oh I see Thanks my friend @Thando Nkutha ☮out Booysen's racketeering charges is really coming to hunt Jiba the snake Zondo must plz drink water @Kay Kay 😂😂😂 That coughing by Zondo thou "Jiba lied to us same as former sars commission Tom Moyane and he swallows Eish mara when Zondo clears his throat it sounds like Thunder somewhre in Johannesburg😁😁 We are coming for big fish 
1:12:59,1:21:30, That cough by Zondo reminds of Skhumba saying cabanga umkhulu wkaho kuthiwa uyashona.... Amahlathi aphelile no forest to hide @Sthakathi Khumalo Mzilikazi kanti ubuye ulalele lesisigebengu saseTembisa uSkhumba? "Eish Zondo sounds sick @makhosi nobhatyi Amahlathi aphelile koJiba. Their circle is just diminishing in multiples. karima brown "@welton paulse I thought I was the only traditional consultant here Paulse "@welton paulse So wena ungenaphi? The judge must just slaughter a goat and his ancestors will tell him to vote Cope @Norman Zwane......or he must Vote ATM...bathong 
1:21:54,1:27:38, "Can someone please bring Bostol for our Chair They must give him Vicks vapo rub @welton paulse His ancestors went before ATM. He vote ATM we will be talking about a former judge. Have a look at safariLIVE "@Norman Zwane  "All these people who are implicated need to come together Nathi Mtetwa was bidding favors with zuma and to cover his role on slush fund used to fence his private home unlawfully. he is corrupt "@welton paulse Hlaudi's T-shirts are causing quite stir in Qwa-qwa This state capture is actually not a normal corruption saga but a syndicate of organized crime 
1:28:35,1:36:50, Kay you are 100% correct Mthethwa here Mthethwa there Mthethwa all over the sickly evidence of Booysens. What was wrong ngo Nyambose? Can you please call hlaudi’s name Malema was willing to kill for Zuma H L A W U D I 🗣 "I am telling you Hlaudi bugged the Chair's microphone is Jiba on her way to jail yet. the judge is just fantastic who cares if the poor man has to cough I think he is trying his best 
1:37:35,1:40:47, "@Norman Zwane we are expecting Batohi to prosecute them "chair reminds me of my late great grandmother Ms September if she was black would be a very beautiful girl. "@Michael Wild @ norman Zwane she is black @makhosi nobhatyi No wonder the hall is half empty today. Batohi is in the house? @makhosi nobhatyi Not my kind of black Yes I saw someone like her sitting far left behind mis September @ Norman Zwane Zuma to follow her to Jail. the sooner the better. 
