author,message
Desmond Masilela,We live guys
Andre' Van Zyl,morning desmond "yose. you seem to have a huge inferiority complex
Slindile Ngcobo,morning ppl
Dmitry Nikashin,morning @rohan barnard mine lags but i am with telkom wondering if anyone else experiencing this lag? "cheers guys see you tomorrow
mbulelo mshudulu,molweni
Sipho Dube,Morning all
Esther Lekgate,Morning South Africans
Felix Muyoba,morning @Indoda Yamaqiniso white people have generally scary teeth..no offense.. @goolamv i put a disclaimer please "@goolamv but of spanish origin @goolamv ok but she looks spanish though @Nelson Musoliwa haha please leave makndhakandha alone.. @rohan barnard haha please @rohan barnard the easiest to pronounce the figure is just to say one point something million and not try to call all those figures else you just invite trouble.. "@Jhay he is human @Yose Human history is still relevant @Yose Human are you a shareholder in motsepe foundation? @Lebo Motsetse true..may and not one.. @Anne M. leave the hoodlum to make as much noise as he can.. @grant wilkinson true and the world bank as well.. @Melvict Melbourne he likes the zulus that is why the lady is educating the commission on economics today..dcj is stunned cybersecurity breach @Robert Russell hahaha @Sofia Sofia what is the number? close to a quarter billion..what will you do with that if you win it @Sofia Sofia ? @Sofia Sofia be honest..you will forget about the poor i tell you.. "hohoho @Fils de l'homme in my dreams!! @Indoda Yamaqiniso do you have an experience of that? @Other Ness you mean dudu myeni zuma? "@Cassius Mngomezulu cyril is a business man who just took leave @Cassius Mngomezulu no man..a business man for president? @Cassius Mngomezulu look at how trump is running the us.. @Thando Nkutha agree
Luthando Funiselo,morning
Makgoba Johannes,morning everyone? Avuxeni
Wallace Mandimutsira,molweni well learned
Indoda Yamaqiniso,Can a European be sexy? At least not to me. I see her scary teeth. CD scratches😩 Europeans must go home So that they'd stop worrying about South Africa a sangoma exists and Jesus is a fiction "Funny enough "Europe would slide back to the dark ages if we can control our resources 🐷🐖 Maria Ramos has admitted that they at Absa were manipulating the rand while it was all blamed on Zuma Regime change dirty tactics and our own clever black people alwaya fall for it. They only realize that they can't live without us as we do all the work for them and still call us lazy "White women loves black men. They pretend they don't in front of their families "John James "They're genetically weak The media is not captured by anyone. Captured from who? They own it. "At least ""looks like"" and wena you were made from a pig🐖🐷" pale piggish skin🤢🤮
martin markus,lol
Dorothy Milne,"Yes "Exactly
Beth Biggs,"can you believe it. the low IQ viewers will debate looks and teeth. save a nation with these low IQ viewers. better to keep quiet
michael mbatha,"Cishe kwakuhle lokhu kongamla
Myka'Al Daud,Racists r having nice time in Mandela land Africans must own 92% of the land and minorities must share remaining 8% Yes she is spanish We gave her citizenship in our land She is here to defend Pravin and his cabal "Tell her DCJ "It is the prerogative of the pres to hire or fire "investors invest anywhere as long as they ll make money "Remember black professionals who remain unemployed "Prioritize them Is not handouts they went to school and graduated the problem is our natural resources and land are owned by foreigners Then the same foreigners who we enrich with our resources we borrow from them again Africa must own its resources and this so called investors will be moneyless Thieves are called lenders "White supremacy is the enemy of Afrikans "I wish state capture was benefiting us Afrikans bcos it was irritating Caucasians "5 economists will have 5 different opinions White supremacy is shocking Arrogance of white supremacy Call her to order DCJ They don't respect black professionals "Why steal Afrikan natural resources  "Caucasians are never wrong  Malema is not old age VOTE EFF come 8 May Let's meet here tomorrow guys As you grow you go throw stages of life and u mature Malema learned from his mistakes
Cassius Mngomezulu,Morning South Africans Just tuned in- who is this nice lady Black is Beautiful and White is Nice- Dankie "Laziness-A senior official from the treasury @Amanda Watson-Thanks- are you related to Gavin Watson? Yes any remembers steinhof saga ANC ANC ANC ANC CYRIL MY PRES ANC MY LOVE THATS OKFELIX @Felix Muyoba - the COUNTRY IS A BUSINESS.E.G MINERALS and LAND are business @Val Speirs​Ramaphosa looks like a frog in boiling water and so do many others in the ANC - you look like terblance's beared are they no there for business
GOOD AFRICA TV,heita mngomezulu Catherine oooh my word...this guy disturbed her while she was explaining about the impact of rand to dollar based on 2015 but no she has jumped 🙄🙄🙄 she's South African I think Zuma would be a last person to appear before the State capture....
Amanda Watson,"Scroll down @Cassius Mngomezulu  "@Cassius Mngomezulu Probebly "Baba ka Duduzane should use this
rohan barnard,She sounds foreign.... @Nelson Musoliwa hundrety-fourthy thousandy- millionity "make your lives easier for yourselves Blocking here is a life saver! I have quite a few idiots blocked. Best decision ever! Who is this adv? I like him. Unlike some of the others we had "@Thando Nkutha true words bro! People should stop entertaining these trolls. If they do On the topic of borrowing. All countries borrows from the world bank.... Who does the world bank belog to? belong* @Sofia Sofia HI! I missed you! 😀 @grant wilkinson thank you. But even the US owes them a substantial amount of money.... So the US borows their own money from the world bank then? "@Cebo Khumalo not long ago @Melvict Melbourne just block that troll. "@Frik Brits next to his name is 3 dots "@Frik Brits nope. I blocked human quite a while ago Loadshedding Anonymous is intercepting the signal 😂😂😂😂 @Sofia Sofia I need to play power ball! Then I can buy that island 🤣 anyone else's video lagging or is it Telkom now? @Sofia Sofia and pixelated video as well? "@Cassius Mngomezulu indeed! But that just disappeared "@Dmitry Nikashin I'm lagging Why is ENCA not live streaming the inquiry anymore? "Auwa "This sucks... I only come to work to watch this
Talloolah Moon,She “speaks” she doesn’t tork Yes Cassius. Worked for. Not given Myka is a race baiter Myka is fishing 🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣 Feeding yourself myka Jhay my thoughts too Yose you too 🎣🎣🌻🎣🌻🌻 Karabo...keep smiling 🎣🎣🎣
