starttime, endtime,message
time,3:52,message ZUMA is coming! More? Ek dog dis eers in Julie? "But at this stage we don't know if he will actually testify. According to his lawyers hello and welcome guys hola guys Hello Jayden another dae of shocking news.. @Abel am with you on that one 
5:07,11:51, Zondo just wants this Adv to wrap up another day of exposure of blatant theft 🤣🤣🤣 True I am going to listen to parliament #sona debate That debate is a boring exercise @Anne M. I thought the rule that has been applied thus far is that you cannot cross-examine witnesses until you have testified yourself. From there @Granny Mokwena #ProudlyBroughtToYouByTheANC 
12:09,18:27, "@Derek Main Yes this debate is boring very very boring.. You may cross examine but you must have submitted your own version in the form of an affidavit Zondo has more questions for Adv than the witness loooooooool 😀😀😀 Zondo must wake up how can he work up when he is confronted with a sleeping tablet this early lolololo 
18:46,29:35, 😀😀 even the SONA debate is better than these two.. its like shes not sure of what she is reading.. @Mduduzi Thabede Aaah OK - thanks. @Mduduzi Thabede It's going to have to be a very long affidavit. 😀😀😀 Absolutely but is that fuel for the whole Tambo fleet or just for two in question....this is not clear "the Nigerian President is reserving jobs for them at home 
34:43,42:44, she must be able to stand on her own feet the commission does not want to waste resources where did the Guptas.park there airplane and where did it get refilled. It got chased to OR @Michael Wild morning michael @wild the aircraft landed at Lanseria if not mistaken. @Robert Russell People will say you're xeno... "to my knowledge oh yes you are right "@KEITH SINDILE DINABANTU .... read the old testament.... """"Eye for a eye"""" call me what you like." 
43:21,52:32, The plane they used for business that was grounded by the Canadian company. it was used by Zuma and others to travel to Dubai. but guess Lanseria was a better located site. but was fuel diverted ya neh I wonder whose job it is to prepare all this paperwork... "@Robert Russell But i always found it hypocritical when any citizens complain about Nigerians on drugs Chairman is correct. It is frustrating that the evidence leader dies not allow the witness to tell the story behind the facts and only reference the facts when necessary. "the whole thing is flat This is better... patience when you punch the body the head will eventually give in. Zuma's lawyers are accusing the Zondo comm of impartiality a grave concern according to me and is vague on whether he will appear on the set dates before the comm 
54:52,1:03:51, Zuma carries too much baggage his cross exam requires mmore than a week Interesting to see how the Zondo cmm will respond to Zuma's letter on how he view the comm among others that the comm is prejudiced against him. I saw an EWN report this morning saying he was heeding the call to appear at the commision Always the VICTIM @Nelson Musoliwa "IMHO Jayden you are right a week is not enough "He needs to face reality Zuma always play smart with law crying victim hood "waits of time no one will be arrestesd at the end 
1:05:45,1:15:18, Too much """I will kill for Zuma""" "He really is not worth dying for "Zuma is a spent force we better not have this advocate again after tea please s0 much respect for DCJ ZONDO Why are they rising though...it's not a courtroom "@Jayden Bango Zuma was a whirlwind that left our defences all flattened out "Zuma won't testify 
1:15:24,1:31:08, He is a Judge and you respect him for that Role @Jayden Bango We are so fractured we cannot even see a crook on two legs. Yesterday we still had bus loads of Zandile Gumede supporters just as we had taxi loads of Magashule haaaaaaaaaaaaaaaaaa wake up haaaaaaaaaaaaaaaaaaa s@Jayden Bango All these are people who cannot exposure of their leadership or fools who are hungry to be bought for whatever purpose. That is what I guess the zuma years left us with. jai sri ram.. @Norman Zwane the biggest legacy amongst all predecessors will be corruption.Never in the history of SA has an economy be so wrecked by one individual's blessings Sorry i am late guys... coming from parliament this is one of the best lawyers Woza Mark Vhaun... your name sound corrupt 
1:31:45,1:35:38, @Siyabonga Kundayi you didnt miss much. u have just joined the right time Jayden you just like Adv. Hofmeyer lo lol sdhe argues well "Yeah her mental faculties are well chiselled wow South Africa in the making........ 
1:36:20,1:39:51, "@Hermiomie Asreal Thats her name "Is it my ignorance or something I couldnt have put it better Norman "Oops Buthelezi performance is quite dismal to say the least I only know her as Advocate Hofmeyr "@Norman Zwane  The top guns are busy elswehere across the country and the continent @Jayden Bango Next Zuma and Jimmy Manyi will insist they will give evidence if only cross examined by Ms Buthelezi. 
