author,message
Xhakaza Forex,. mlo
gwajo hadebe,miss Mento we are waiting lol Sniper! were u scamed?
Aubrey Malesela Seretlo,Xhakaza are you also a forex scammer nxa @gwajo hadebe no bro. I cannot be scammed by these people lol
Sonwabile Sigijimi,how did work this forx before you come tell us what you need
Lucky123 Thwala,Jimmy Manyi 10 evidance leader 0 "This legal are team are failing Deputy Chief Justice Zondo  section 27 has finished the life esidimeni millions and now are here representing Mr Nene. getting sick now. akachathe ubabu Nene. postpone postpone postpone
makhosi nobhatyi,Twala Jimmy was not delivering he was being defensive "I was not surprised with ANC response being defensive and ignorant same way they did to defend Zuma of which is wrong Jimmy Is going to fall new evidence about his conduct arrived
Strini Naidu,I see alot of u interested I listening to anc lies
Vuyo Tshekela,Adv Adila Hassim!! A great legal mind!
peter pott,"all those who came to give evidence are hiding now. this is legal inquiry ankle injury. he can be wheelchaired here. We have chairs here "listen to that. injured his ankle doing what?from Jan 1 nene is coming with kindergarten reasons here. van breda tried similar reasons.
Mthobisi Zuma,NENE running away now
Nniki Malatji,Mr Nene is genuinely not fit to testify now. Reason furnished and accepted.
